1/length,roe_kj/mol,smiles_monomer,smiles_polymer
0,-9.85,CC1OCCOC1=O,[*]OCCOC(C)C([*])=O
0,-16.8,CC1CCC(C(C)C)OC(=O)C1,[*]OC(CCC(C)CC([*])=O)C(C)C
0,-13.8,CC1CCOC(=O)C1,[*]OCCC(C)CC([*])=O
0,-5.4,O=C1CCCO1,[*]OCCCC([*])=O
0,-13.8,CC1CCCC(=O)O1,[*]OC(C)CCCC([*])=O
0,-17.1,CCCCCC1CCCC(=O)O1,[*]OC(CCCCC)CCCC([*])=O
0,-11.6,CC1OCCC(=O)O1,[*]OC(C)OCCC([*])=O
0,-14.1,O=C1COCCO1,[*]OCCOCC([*])=O
0,-8.4,O=C1CCCCO1,[*]OCCCCC([*])=O
0,-14,O=C1CCCCCO1,[*]OCCCCCC([*])=O
0,-18,O=C2CC1CCCCC1O2,[*]OC1CCCCC1CC([*])=O
0,-15.6,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,[*]SC1CC(C([*])=O)N(C(=O)OC(C)(C)C)C1
0,-9.4,C=CCOCCOCCOCCOC(=O)NC1C(=O)SC1(C)C,[*]SC(C)(C)C(NC(=O)OCCOCCOCCOCC=C)C([*])=O
0,-20,O=C1OCC2CCCCC12,[*]OCC1CCCCC1C([*])=O
0,-22,C=CCOCC1(CC)COC(=O)OC1,[*]CC(CC)(COCC=C)COC(=O)O[*]
0,-79.84,CCCCC1(C)CNC1=O,[*]NCC(C)(CCCC)C([*])=O
0,-113,C1CC1,[*]CCC[*]
0,-94,C1CO1,[*]CCO[*]
0,-105.01,C1CCC1,[*]CCCC[*]
0,-81,O=C1CCO1,[*]OCCC([*])=O
0,-21.2,C1CCCC1,[*]CCCCC[*]
0,-5.4,O=C1CCCCS1,[*]CCCCC(=O)S[*]
0,-9.5,O=C1CSCCS1,[*]SCCSCC([*])=O
0,-14,COP1(=O)OCCO1,[*]OCCOP([*])(=O)OC
0,-8,O=C1CCCCCCCCCCCCO1,[*]OCCCCCCCCCCCCC([*])=O
0,-23,O=C2OC1CCCCC1O2,[*]OC1CCCCC1OC([*])=O
0,-26,O=C1OCCCO1,[*]OCCCOC([*])=O
0,-24,C1CCOC1,[*]CCCCO[*]
0,-18,O=C1NCCCO1,[*]OCCCNC([*])=O
0,2.9288,C1CCCCC1,[*]CCCCCC[*]
0,-21.7568,C1CCCCCC1,[*]CCCCCCC[*]
0,-34.7272,C1CCCCCCC1,[*]CCCCCCCC[*]
0,-23.43,C1=CCCC1,[*]CCCCC=[*]
0,-23.012,O=S1(=O)CCCO1,[*]CCCS(=O)(=O)O[*]
0,-19.63,CC(C)(C)OC(=O)N1CCOC(=O)C1,[*]OCCN(CC([*])=O)C(=O)OC(C)(C)C
0,-15.7,O=C(OCC)CCCCC1CCSS1,[*]SCCC(CCCCC(OCC)=O)S[*]
0,-1.07,O=C(OCC(C)COC(C1=CC=C(C(OCC(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,[*]C(C1=CC=C(C(OCC(C)CO[*])=O)C=C1)=O
0,-2.67,O=C(OCC(C)(C)COC(C1=CC=C(C(OCC(C)(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,[*]C(C1=CC=C(C(OCC(C)(C)CO[*])=O)C=C1)=O
0,-22.59,CC1CCOC1,[*]OCC(C)CC[*]
0,-21.34,C1C=CCC1C2=CC=CC=C2,[*]=CCC(C1=CC=CC=C1)CC=[*]
0,-23.8,O=C1N[C@H]2CCC[C@@H]1O2,O=C([C@@H]1CC[C@@H](OC1)N[*])[*]
0,-100.83,CC1CC1,[*]CC(C)C[*]
0,-95.81,CC1CCC1,[*]CCC(C)C[*]
0,-12.97,CC1CCCC1,[*]CCCC(C)C[*]
0,13.39,CC1CCCCC1,[*]CC(C)CCCC[*]
0,-57.32,CC1(C)CC1,[*]CC(C)(C)C[*]
0,-85.35,CC1(C)CCC1,[*]CC(C)(C)CC[*]
0,0.84,CC1(C)CCCC1,[*]CC(C)(C)CCC[*]
0,21.76,CC1(C)CCCCC1,[*]CC(C)(CCCC[*])C
0,-24.23,S=C1CCCCCO1,[*]CCCCCC(=S)O[*]
0,-19.25,O=C1OCCCCCC1,O=C(CCCCCCO[*])[*]
0,-14.1,O=C1S[C@@H]2CC[C@H]1C2,[*]SC1CCC(C([*])=O)C1
0,-19.3,CC1(C)SCCSC1=O,[*]CCSC(C)(C)C(=O)S[*]
0,-10.2,CC1SCCSC1=O,[*]CCSC(C)C(=O)S[*]
0,-13,CC1CCCOC1=O,[*]OCCCC(C)C([*])=O
0,-15.8,CC1CCC(=O)OC1,[*]OCC(C)CCC([*])=O
0,-16.4,CCC1CCCC(=O)O1,[*]OC(CC)CCCC([*])=O
0,-18.5,CCCC1CCCC(=O)O1,[*]OC(CCC)CCCC([*])=O
0,-17,CCCCC1CCCC(=O)O1,[*]OC(CCCC)CCCC([*])=O
0,-18.4,CCCCCCC1CCCC(=O)O1,[*]OC(CCCCCC)CCCC([*])=O
0,-18.7,CCCCCCCC1CCCC(=O)O1,[*]OC(CCCCCCC)CCCC([*])=O
0,-16.8,CCCCCCCCCC1CCCC(=O)O1,[*]OC(CCCCCCCCC)CCCC([*])=O
0,-16.8,CC(C)C1CC(=O)OC(C)C1,[*]OC(C)CC(CC([*])=O)C(C)C
0,-5.9,C=C1CCOC1=O,[*]OCCC(=C)C([*])=O
0,-4.5,CN1[Si](C)(C)O[Si](C)(C)O[Si]1(C)C,[*]O[Si](C)(C)N(C)[Si](C)(C)O[Si]([*])(C)C
0,-23.9,CC1OC(=O)C(C)OC1=O,[*]OC(C)C(=O)OC(C)C([*])=O
0,-16.8252222,C1=CCCC1,[*]CC=CCC[*]
0,-17.5751901,CC(C)(C)[Si](C)(C)OC1CC=CC1,[*]CC=CCC([*])O[Si](C)(C)C(C)(C)C
0,-21.0207189,O=C(OCc1ccccc1)C2CC=CC2,[*]CC=CCC([*])C(=O)OCc1ccccc1
0,-15.2803881,C2=CCC(OCc1ccccc1)C2,[*]CC=CCC([*])OCc1ccccc1
0,-17.5984707,C2=CCC(COCc1ccccc1)C2,[*]CC=CCC([*])COCc1ccccc1
0,-18.3999885,OCC1CC=CC1,[*]CC=CCC([*])CO
0,-14.83722525,COC(=O)C1CC=CC1,[*]CC=CCC([*])C(=O)OC
0,-12.7810494,O=C(O)C1CC=CC1,[*]CC=CCC([*])C(=O)O
0,-22.6,CC(C)(Br)C(=O)OC1CC=CC1,[*]CC=CCC([*])OC(=O)C(C)(C)Br
0,-21.358666,C2=CCC(c1ccccc1)C2,[*]CC=CCC([*])c1ccccc1
0,-11.5015876,OC1CC=CC1,[*]CC=CCC([*])O
0,-23.8,O=C1N([H])C2CCCC1O2,[*]NC1CCCC(C([*])=O)O1
0,-4.5,O=C1SCCCC1C,O=C(C(C)CCC[*])S[*]
0,-12.7,C[Si](C)(OC1C=CCC1)C,[*]C/C=C/C(O[Si](C)(C)C)C[*]
0,-21.3,CC[Si](CC)(OC1C=CCC1)CC,[*]C/C=C/C(C[*])O[Si](CC)(CC)CC
0,-6.8,C[Si](C(C)(C)C)(OC1C=CCC1)C,[*]C/C=C/C(O[Si](C(C)(C)C)(C)C)C[*]
0,-17.9,O=C(OC)CCCCC1SSCC1,O=C(OC)CCCCC(CCS[*])S[*]
0,-21,CC1(C)COC(=O)OC1,[*]CC(C)(C)COC(=O)O[*]
0,-18,CCC1(CC)COC(=O)OC1,[*]CC(CC)(CC)COC(=O)O[*]
0,-16,CC2(c1ccccc1)COC(=O)OC2,[*]CC(C)(COC(=O)O[*])c1ccccc1
0,-5,CCC2(c1ccccc1)COC(=O)OC2,[*]CC(CC)(COC(=O)O[*])c1ccccc1
0,-25,CC(=O)OC1CC(=O)OC(C)C1,[*]OC(C)CC(CC([*])=O)OC(C)=O
0,-4.92,CC1SC(=O)C(C)SC1=O,[*]SC(C)C(=O)SC(C)C([*])=O
0,-17.88,O=[N+](C1=CC(CC(OC)CCCS2)=C2C=C1)[O-],[*]C1=CC=C([N+]([O-])=O)C=C1CC(OC)CCCS[*]
0,-16.5,C=C1CCCOC1=O,[*]OCCCC(=C)C([*])=O
0,-15.2,COC(=O)C1CCC(=O)OC1,[*]OCC(CCC([*])=O)C(=O)OC
0,-27.3,CC2(C)Oc1ccccc1COC2=O,[*]OCc1ccccc1OC(C)(C)C([*])=O
0,-21.1,O=C1OC2CCCC1C2,[*]OC1CCCC(C([*])=O)C1
0,-10,O=C1NC2CCCC1C2,[*]NC1CCCC(C([*])=O)C1
0,-20,C1COCO1,[*]COCCO[*]
0,-8.8,C/2=C/CC[C@@H]1CC[C@H]1CC2,[*]=CCC[C@@H]1CC[C@H]1CCC=[*]
0,-7.1,COC(=O)C2[C@H]1CC/C=C\CC[C@@H]1C2C(=O)OC,[*]=CCC[C@H]1[C@H](CCC=[*])C(C(=O)OC)C1C(=O)OC
0,-11.7,O=C3[C@@H]2[C@H]1CC/C=C\CC[C@@H]1[C@@H]2C(=O)N3c4ccccc4,[*]=CCC[C@H]2[C@H](CCC=[*])[C@@H]3C(=O)N(c1ccccc1)C(=O)[C@H]23
0,-12.1,C/2=C/CC[C@@H]1CCC[C@H]1CC2,[*]=CCC[C@@H]1CCC[C@H]1CCC=[*]
0,-11.3,C/2=C/CC[C@@H]1OCO[C@H]1CC2,[*]=CCC[C@@H]1OCO[C@H]1CCC=[*]
0,-10.9,CC2O[C@H]1CC/C=C\CC[C@@H]1O2,[*]=CCC[C@@H]1OC(C)O[C@H]1CCC=[*]
0,-13.4,CC2(C)O[C@H]1CC/C=C\CC[C@@H]1O2,[*]=CCC[C@@H]1OC(C)(C)O[C@H]1CCC=[*]
0,-13.8,CCCCCC2(CCCC)O[C@H]1CC/C=C\CC[C@@H]1O2,[*]=CCC[C@@H]1OC(CCCC)(CCCCC)O[C@H]1CCC=[*]
0,-11.7,C/3=C/CC[C@@H]2OC1(CCCCC1)O[C@H]2CC3,[*]=CCC[C@@H]2OC1(CCCCC1)O[C@H]2CCC=[*]
0,-34.7,O=C1OC2C=CCC1C2,[*]OC1C=CCC(C([*])=O)C1
0,-19.8,O=C1OC2C=CCC1C2,[*]=CCC1CC(C=[*])OC1=O
0,-20.9,C1=COCC1,[*]=CCCOC=[*]
0,-18.11,CC1CCCSC(=S)S1,[*]SCCCC(C)SC([*])=S
1,-13.71595181,CC1OCCOC1=O,[*]OCCOC(C)C([*])=O
