PID,score,SMILES,Ester_Groups,Benzene_Rings,Ether_Groups,Alkyl_Carbons,Hydroxyl_Groups,Mol_Weight
P070058,1.8222786331219232,*CC(CO)(CO)CO*,0,0,0,5,2,118.13199999999999
P040236,1.8175121408125685,*CC(*)(C)C(=O)OCC(O)CO,1,0,1,6,2,160.16899999999998
P450057,1.6031148757347942,*CC(O)C(O)COC(=O)O*,0,0,1,4,2,148.11399999999998
P512055,1.5481264083276265,*c1cc(C(C)(C)c2ccc(O)cc2)cc(*)c1O,0,2,0,3,0,226.27499999999998
P370591,1.4898084556222926,*CC(CC)(CO)CO*,0,0,0,6,1,116.15999999999998
P330072,1.4497771353880256,*CC(*)(CC(=O)O)C(=O)O,0,0,0,3,0,130.099
P070661,1.4223664706981642,*CC(C)(CO)CO*,0,0,0,5,1,102.13299999999998
P512050,1.4163009840700136,*Cc1cc(C(C)(C)C)cc(*)c1O,0,1,0,5,0,162.23199999999997
P070419,1.4028971587272454,*CC(O)COc1ccc(C(C)(CC)c2ccc(O*)cc2)cc1,0,2,1,7,1,298.38199999999995
P040250,1.3999022728189126,*CC(*)(C)C(=O)OCC1(C)COCOC1,1,0,3,9,0,200.23399999999992
P392013,1.3938662229649437,*CCCCCCCCCCOC(=O)CC/C=C/CCC(=O)O*,1,0,1,14,0,310.4340000000001
P372599,1.3808618290339625,*OC1C(CO)OC(*)C(N)C1O,0,0,1,6,2,161.15699999999998
P040235,1.3225578125975268,*CC(*)(C)C(=O)OCC(C)O,1,0,1,6,1,144.17
P100621,1.3172007264356504,*Nc1ccc(CC(C)(C)NC(=O)CCC(*)=O)cc1,0,1,0,6,0,246.30999999999997
P100116,1.31122332089096,*CCCC(C)(C)CNC(=O)CCCCCC(=O)N*,0,0,0,12,0,254.37399999999994
P040234,1.293883811912844,*CC(*)(C)C(=O)OCCOCCO,1,0,2,7,1,174.19599999999997
P310005,1.29374788748006,*CCC(C)(C)C(*)(C)C,0,0,0,8,0,112.21599999999998
P462551,1.278644263076982,*CC(O)CN(*)c1cc(C)cc(C)c1,0,1,0,5,1,177.24699999999999
P342282,1.2752537950180027,*CC(*)(C)C(=O)OCC1(CC)COC1,1,0,2,9,0,184.23499999999996
P070369,1.269944768607984,*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,0,2,1,6,1,284.35499999999996
P090469,1.2604835989469467,*CC(C)(C)COC(=O)CCC(=O)O*,1,0,1,7,0,186.20699999999994
P342413,1.2551926625442,*CC(*)(C)C(=O)OCC(=O)N1CCOCC1,1,0,2,8,0,213.23299999999992
